Ra, Dec
05h34m31.94s,+22d00m52.2s
21h33m27.02s,-00d49m23.7s
13h42m11.62s,+28d22m38.2s
16h23m35.22s,-26d31m32.7s
15h18m33.22s,+02d04m51.7s
17h40.1m,-32d13m
17h53m51.2s,-34d47m34s
18h03m37s,-24d23m12s
17h19m11.78s,-18d30m58.5s
16h57m8.92s,-04d05m58.07s
18h51.1m,-06d16m
16h47m14.18s,-01d56m54.7s
16h41m41.24s,+36d27m35.5s
17h37m36.15s,-03d14m45.3s
21h29m58.33s,+12d10m01.2s
18h18m48s,-13d49m
18h20m26s,-16d10m36s
18h19.9m,-17d08m
17h02m37.69s,-26d16m04.6s
18h02m23s,-23d01m48s
18h04.6m,-22d30m
18h36m23.94s,-23d54m17.1s
17h56.8m,-19d01m
18h17m,-18d29m
18h31.6m,-19d15m
18h45.2m,-09d24m
19h59m36.340s,+22d43m16.09s
18h24m32.89s,-24d52m11.4s
20h23m56s,+38d31.4m
21h40m22.12,-23d10m47.5s
00h42m44.3s,+41d16m9s
00h42m41.8s,+40d51m55s
01h33m50.02s,+30d39m36.7s
02h42.1m,+42d46m
06h09.1m,+24d21m
05h36m12s,+34d08m4s
05h52m18s,+32d33m02s
05h28m42s,+35d51m18s
21h31m42s,+48d25m
12h22m12.5s,+58d4m59s
06h46.0m,-20d46m
05h35m17.3,-05d23m28s
05h35.6m,-05d16m
08h40.4m,19d59m
03h47m24s,+24d07m00s
07h41.8m,-14d49m
07h36.6m,-14d30m
08h13.7m,-05d45m
12h29m46.7s,+08d00m02s
07h03.2m,-08d20m
13h29m52.7s,+47d11m43s
23h24.2m,+61d35m
13h12m55.25s,+18d10m05.4s
18h55m03.33s,-30d28m47.5s
19h39m59.71s,-30d57m53.1s
19h16m35.57s,+30d11m00.5s
18h53m35.079s,+33d01m45.03s
12h37m43.5s,+11d49m05s
12h42m02.3s,+11d38m49s
12h43m39.6s,+11d33m09s
12h21m54.9s,+04d28m25s
17h01m12.60s,-30d06m44.5s
13h15m49.3s,+42d01m45s
12h56m43.7s,+21d40m58s
11h18m55.9s,+13d05m32s
11h20m15.0s,+12d59m30s
08h51.3m,+11d49m
12h39m27.98s,-26d44m38.6s
18h31m23.10s,-32d20m53.1s
18h43m12.76s,-32d17m31.6s
19h53m46.49s,+18d46m45.1s
20h53m27.70s,-12d32m14.3s
20h58m54s,-12d38m
01h36m41.8s,+15d47m01s
20h06m04.75s,-21d55m16.2s
01h42.4m,+51d34m31s
02h42m40.7s,-00d00m48s
05h46m46.7s,+00d00m50s
05h24m10.59s,-24d31m27.3s
16h17m02.41s,-22d58m33.9s
09h55m33.2s,+69d3m55s
09h55m52.2s,+69d40m47s
13h37m00.9s,-29d51m57s
12h25m03.7s,+12d53m13s
12h25m24.0s,+18d11m28s
12h26m11.7s,+12d56m46s
12h30m49.42338s,+12d23m28.0439s
12h31m59.2s,+14d25m14s
12h35m39.8s,+12d33m23s
12h36m49.8s,+13d09m46s
12h35m26.4s,+14d29m47s
17h17m07.39s,+43d08m09.4s
07h44.6m,-23d52m
12h50m53.1s,+41d07m14s
10h43m57.7s,+11d42m14s
10h46m45.7s,+11d49m12s
11h14m47.734s,+55d01m08.50s
12h13m48.292s,+14d54m01.69s
12h18m49.6s,+14d24m59s
12h22m54.9s,+15d49m21s
14h03m12.6s,+54d20m57s
15h06m29.5s,+55d45m48s
01h33.2m,+60d42m
12h39m59.4s,-11d37m23s
10h47m49.6s,+12d34m54s
12h18m57.5s,+47d18m14s
16h32m31.86s,-13d03m13.6s
11h11m31.0s,+55d40m27s
11h57m36.0s,+53d22m28s
00h40m22.1s,+41d41m07s